year,vote1,vote2,vote3,vote11,vote12,vote13,vote01,vote02,vote03,total0,total1,p1,p2,p3,p11,p12,p13
1945,8222893,10823436,3698748,878206,1144310,327602,9101099,1.20e+07,4026350,2.27e+07,2350118,.3615241,.4758584,.1626175,.3736859,.486916,.1393981
1950,11270394,12006766,2767280,1222010,1259410,245264,1.25e+07,1.33e+07,3012544,2.60e+07,2726684,.4327371,.4610107,.1062522,.4481671,.4618834,.0899495
1955,12036949,11217196,888608,1273942,1188058,59385,1.33e+07,1.24e+07,947993,2.41e+07,2521385,.498574,.4646196,.0368064,.5052549,.4711926,.0235525
1959,12490588,10970917,1672783,1260287,1245255,130701,1.38e+07,1.22e+07,1803484,2.51e+07,2636243,.4969541,.4364921,.0665538,.4780618,.4723597,.0495785
1964,10932947,10922141,3085033,1069695,1283667,264107,1.20e+07,1.22e+07,3349140,2.49e+07,2617469,.4383679,.4379346,.1236976,.4086753,.490423,.1009017
1966,10308001,11822713,2373184,960675,1273916,317151,1.13e+07,1.31e+07,2690335,2.45e+07,2551742,.4206678,.4824829,.0968492,.3764781,.4992338,.124288
1970,12124449,11011690,2399626,1020674,1197068,465877,1.31e+07,1.22e+07,2865503,2.55e+07,2683619,.4748027,.4312262,.0939712,.3803349,.4460648,.1736003
1974,10921512,10588015,6790903,950668,1057601,877413,1.19e+07,1.16e+07,7668316,2.83e+07,2885682,.3859133,.3741291,.2399576,.3294431,.3664995,.3040574
1974.5,9781238,10456498,6068227,681327,1000581,1075925,1.05e+07,1.15e+07,7144152,2.63e+07,2757833,.3718259,.3974953,.2306788,.2470516,.3628142,.3901342
1979,12781768,10320763,5048935,916155,1211455,772409,1.37e+07,1.15e+07,5821344,2.82e+07,2900019,.4540356,.3666155,.1793489,.3159134,.4177404,.2663462
1983,11409978,6475836,6371924,801312,990644,1032162,1.22e+07,7466480,7404086,2.43e+07,2824118,.4703645,.2669596,.2626759,.2837389,.35078,.3654812
1987,12336089,7517279,6013733,713499,1258177,996985,1.30e+07,8775456,7010718,2.59e+07,2968661,.4769027,.2906116,.2324858,.2403437,.4238197,.3358366
1992,12554460,9271401,5136313,751954,1142866,1036735,1.33e+07,1.04e+07,6173048,2.70e+07,2931555,.4656323,.343867,.1905007,.2565035,.3898498,.3536468
1997,8604964,10974674,5282259,493059,1283353,1041027,9098023,1.23e+07,6323286,2.49e+07,2817439,.3461105,.4414255,.212464,.1750025,.4555034,.3694941
2001,7632812,8707165,4581418,360558,1017226,935801,7993370,9724391,5517219,2.09e+07,2313585,.3648328,.4161847,.2189824,.1558439,.4396752,.4044809
2005,8043421,7722785,5996898,369388,922402,1042097,8412809,8645187,7038995,2.18e+07,2333887,.3695898,.3548568,.2755534,.1582716,.3952214,.446507
2010,9900704,6535461,7646051,412905,1035528,1017347,1.03e+07,7570989,8663398,2.41e+07,2465780,.411121,.2713812,.3174978,.1674541,.4199596,.4125863
