"dates","rate"
"2015-05-13",0.857142857142857
"2015-05-20",0.75
"2015-05-24",0
"2015-06-05",0.375
"2015-06-13",0.4375
"2015-06-21",1
"2015-06-27",1.3
"2015-07-02",3.25
"2015-07-04",7.5
"2015-07-05",3.25
"2015-07-07",3.5
"2015-07-09",3.5
"2015-07-11",3
"2015-07-13",2.33333333333333
"2015-07-16",3.5
"2015-07-18",1.375
"2015-07-22",2.5
"2015-07-25",0
"2015-07-29",4.5
"2015-07-31",3
"2015-08-02",4
"2015-08-04",3.75
"2015-08-06",8
"2015-08-07",3.75
"2015-08-09",2.5
"2015-08-13",6
"2015-08-14",7
"2015-08-16",1.75
"2015-08-20",4.25
"2015-08-22",2.9
"2015-08-27",2.875
"2015-08-31",1.4
"2015-09-05",3.16666666666667
"2015-09-08",1.35714285714286
"2015-09-15",2
"2015-09-18",1.5
"2015-09-22",4
"2015-09-24",1.71428571428571
"2015-10-01",0.6
"2015-10-06",6.5
"2015-10-08",2
"2015-10-14",1.75
"2015-10-22",1.6875
"2015-10-30",1.66666666666667
"2015-11-08",0.6
"2015-11-28",1
"2015-12-12",0.75
"2015-12-24",0
